Name,Last Name,Firstst Name,Fights,Strikes,Total Strike Accuracy,Take Down,Take Down Accuracy,Knock Down,pass,Reversal,Substitution
"Oleinik, Aleksei",Oleinik,Aleksei,8,308,66.10%,9,39.10%,2,10,1,5
"Sell, Pete",Sell,Pete,7,308,55.60%,4,21.10%,1,2,1,1
"Sinosic, Elvis",Sinosic,Elvis,7,308,73.70%,0,0.00%,1,2,0,1
"Kimmons, Rob",Kimmons,Rob,7,307,72.90%,7,46.70%,0,6,1,2
"Ferreira, Diego",Ferreira,Diego,8,306,48.30%,3,23.10%,2,13,2,1
"Teymur, David",Teymur,David,6,305,44.90%,4,33.30%,2,0,0,0
"Ware, Terrion",Ware,Terrion,4,304,37.10%,2,22.20%,0,1,0,0
"Burnett, Mikey",Burnett,Mikey,3,302,64.90%,3,100.00%,1,0,1,0
"Abdurakhimov, Shamil",Abdurakhimov,Shamil,6,302,58.30%,7,26.90%,1,4,0,0
"Randleman, Kevin",Randleman,Kevin,7,300,59.30%,21,70.00%,0,13,0,0
"Silva, Joaquim",Silva,Joaquim,7,299,43.80%,1,50.00%,1,4,0,0
"Lambert, Jason",Lambert,Jason,8,298,70.00%,4,36.40%,3,8,0,1
"Brown, Randy",Brown,Randy,8,296,50.80%,5,41.70%,1,4,1,1
"Luque, Vicente",Luque,Vicente,10,293,57.30%,6,50.00%,5,7,0,3
"Cirkunov, Misha",Cirkunov,Misha,8,293,64.80%,10,58.80%,0,12,1,4
"Haqparast, Nasrat",Haqparast,Nasrat,3,293,50.20%,1,25.00%,3,1,0,0
"Thomson, Josh",Thomson,Josh,8,291,52.20%,11,36.70%,2,5,0,0
"Prangley, Trevor",Prangley,Trevor,4,291,75.80%,14,63.60%,0,10,0,1
"Magomedsharipov, Zabit",Magomedsharipov,Zabit,5,291,58.60%,23,63.90%,0,14,3,3
"Koch, Erik",Koch,Erik,13,290,47.00%,3,60.00%,2,7,1,1
"Holobaugh, Kurt",Holobaugh,Kurt,3,289,56.80%,2,40.00%,1,0,0,0
"Johnson, Lavar",Johnson,Lavar,4,289,73.00%,1,100.00%,2,1,0,0
"Cane, Luiz",Cane,Luiz,9,288,43.90%,2,28.60%,6,2,0,0
"Hallman, Dennis",Hallman,Dennis,9,288,67.90%,10,30.30%,1,12,2,2
"Nunes, Diego",Nunes,Diego,6,287,45.80%,5,55.60%,3,1,0,0
"Arce, Julio",Arce,Julio,4,286,41.30%,1,16.70%,0,2,0,1
"Lopez, Matthew",Lopez,Matthew,6,285,57.70%,15,60.00%,0,7,2,0
"Burns, Kevin",Burns,Kevin,5,283,55.10%,1,50.00%,2,1,0,1
"Salaverry, Ivan",Salaverry,Ivan,7,283,67.70%,2,20.00%,1,8,1,2
"Cantwell, Steve",Cantwell,Steve,6,282,34.20%,3,30.00%,0,3,0,1
"Soukhamthath, Andre",Soukhamthath,Andre,5,280,51.50%,7,63.60%,6,7,0,0
"Bohlander, Jerry",Bohlander,Jerry,7,279,82.50%,3,50.00%,0,6,2,4
"Adesanya, Israel",Adesanya,Israel,5,279,58.60%,0,0.00%,4,2,0,0
"Aurelio, Marcus",Aurelio,Marcus,6,277,47.00%,5,14.30%,1,4,0,1
"Skelly, Chas",Skelly,Chas,9,276,55.00%,11,39.30%,1,19,4,4
"Nelson, Gunnar",Nelson,Gunnar,13,275,65.20%,12,57.10%,1,27,2,7
"Moyle, Jamie",Moyle,Jamie,3,274,56.50%,3,21.40%,0,2,0,0
"Willis, Justin",Willis,Justin,4,274,65.70%,4,66.70%,2,3,0,0
"Kennedy, Tim",Kennedy,Tim,5,273,52.50%,10,34.50%,1,13,1,0
"Green, Desmond",Green,Desmond,5,273,45.00%,5,35.70%,0,1,0,0
"Garbrandt, Cody",Garbrandt,Cody,8,271,38.20%,5,33.30%,9,3,0,0
"McCrory, Tamdan",McCrory,Tamdan,9,269,60.00%,11,47.80%,0,24,4,2
"Dent, Jason",Dent,Jason,4,268,63.40%,0,-,0,0,1,1
"Harris, Walt",Harris,Walt,11,266,39.90%,2,33.30%,6,4,0,0
"Oezdemir, Volkan",Oezdemir,Volkan,7,266,54.10%,1,50.00%,1,2,0,0
"Nguyen, Ben",Nguyen,Ben,7,265,44.80%,1,33.30%,3,4,2,2
"Bochniak, Kyle",Bochniak,Kyle,6,263,34.60%,7,18.90%,1,2,0,0
"Yoder, Ashley",Yoder,Ashley,4,263,46.10%,5,50.00%,1,10,4,0
"Sanders, Luke",Sanders,Luke,6,262,57.00%,1,33.30%,2,1,0,1
"Gouveia, Wilson",Gouveia,Wilson,10,261,46.00%,4,66.70%,4,8,0,4
"Ferrozzo, Scott",Ferrozzo,Scott,5,260,82.30%,4,57.10%,0,1,0,1
"Etim, Terry",Etim,Terry,11,258,38.30%,3,30.00%,2,1,1,4
"Hoger, Sam",Hoger,Sam,5,257,53.40%,5,38.50%,1,7,1,1
"Roberts, Danny",Roberts,Danny,8,257,44.20%,0,0.00%,2,4,0,1
"Di Chirico, Alessio",Di Chirico,Alessio,6,254,48.80%,9,56.30%,2,7,0,0
"Quinonez, Jose",Quinonez,Jose,5,252,48.70%,12,50.00%,2,14,1,1
"Rutten, Bas",Rutten,Bas,2,251,85.10%,0,-,1,0,0,0
"Griffin, Max",Griffin,Max,7,251,48.30%,1,25.00%,3,1,1,0
"Riggs, Joe",Riggs,Joe,12,249,60.30%,13,61.90%,1,13,2,1
"Sanchez, Joby",Sanchez,Joby,5,248,38.60%,2,50.00%,2,5,1,0
"Chonan, Ryo",Chonan,Ryo,4,247,48.90%,2,50.00%,0,0,4,0
"Robinson, Alvin",Robinson,Alvin,4,247,73.50%,3,50.00%,0,0,4,0
"Davis, Brandon",Davis,Brandon,4,246,41.20%,1,33.30%,0,1,0,0
"Yan, Petr",Yan,Petr,3,245,55.80%,3,60.00%,2,2,1,0
"Holland, Kevin",Holland,Kevin,2,245,70.80%,5,71.40%,0,10,0,1
"Emerson, Rob",Emerson,Rob,7,243,36.40%,10,52.60%,2,1,0,0
"Montano, Nicco",Montano,Nicco,1,242,46.20%,3,50.00%,0,5,1,0
"Rogerio de Lima, Marcos",Rogerio de Lima,Marcos,9,239,66.90%,3,60.00%,3,6,1,1
"Johnson, Kajan",Johnson,Kajan,7,238,45.10%,9,37.50%,2,6,1,0
"Brooks, Jarred",Brooks,Jarred,4,238,61.50%,16,57.10%,0,3,0,0
"Silva, Claudio",Silva,Claudio,6,237,63.90%,7,25.90%,0,17,0,1
"Taylor, Danielle",Taylor,Danielle,5,237,32.30%,1,20.00%,0,0,0,0
"Clark, Jessica-Rose",Clark,Jessica-Rose,3,237,53.60%,4,66.70%,0,7,2,0
"Kattar, Calvin",Kattar,Calvin,4,236,42.40%,2,33.30%,2,0,0,0
"Gouti, Thibault",Gouti,Thibault,6,235,40.20%,4,80.00%,1,3,1,0
"Calvillo, Cynthia",Calvillo,Cynthia,6,234,44.90%,7,53.80%,0,12,0,3
"Martinez, Danny",Martinez,Danny,4,233,35.60%,14,50.00%,1,3,1,0
"Castillo, Gil",Castillo,Gil,3,231,83.10%,10,45.50%,0,2,0,0
"McCully, Justin",McCully,Justin,4,231,61.60%,4,44.40%,1,2,1,0
"Hall, Ryan",Hall,Ryan,3,230,66.90%,1,20.00%,0,1,0,1
"Stewart, Darren",Stewart,Darren,7,227,49.80%,7,41.20%,2,2,0,0
"Perez, Alex",Perez,Alex,5,226,53.30%,8,47.10%,1,2,0,2
"Waterman, Ron",Waterman,Ron,4,225,78.40%,6,37.50%,0,7,0,0
"Kondo, Syuri",Kondo,Syuri,3,225,44.10%,0,-,0,0,0,0
"Gillespie, Gregor",Gillespie,Gregor,6,224,60.70%,17,47.20%,2,29,0,2
"Martin, Terry",Martin,Terry,6,223,65.00%,9,36.00%,1,4,0,0
"Breese, Tom",Breese,Tom,6,223,56.30%,0,0.00%,3,3,1,0
"Till, Darren",Till,Darren,7,223,46.40%,3,33.30%,4,1,0,0
"Cutelaba, Ion",Cutelaba,Ion,6,222,36.20%,6,66.70%,1,3,0,0
"Varelans, Paul",Varelans,Paul,8,221,67.20%,2,100.00%,1,6,0,1
"Verissimo, Renato",Verissimo,Renato,3,221,81.00%,3,25.00%,0,9,2,0
"Penne, Jessica",Penne,Jessica,6,221,41.70%,5,18.50%,0,9,1,0
"Loiseau, David",Loiseau,David,9,220,51.30%,3,42.90%,4,5,2,0
"Perosh, Anthony",Perosh,Anthony,13,217,51.10%,9,22.50%,2,15,0,3
"Latifi, Ilir",Latifi,Ilir,12,216,45.40%,10,32.30%,4,6,0,2
"Goulet, Jonathan",Goulet,Jonathan,9,216,61.90%,14,70.00%,2,17,4,1
"O'Malley, Sean",O'Malley,Sean,2,215,57.20%,3,50.00%,0,1,1,0
"Chambers, Alex",Chambers,Alex,5,214,62.80%,7,41.20%,0,5,0,1
"Taisumov, Mairbek",Taisumov,Mairbek,12,213,45.10%,7,77.80%,4,2,0,0
"Barry, Pat",Barry,Pat,12,213,54.80%,0,0.00%,8,5,0,0
"Sandhagen, Cory",Sandhagen,Cory,3,212,62.70%,1,100.00%,1,3,1,0
"Marshall, Eliot",Marshall,Eliot,6,211,38.70%,2,33.30%,1,4,0,1
"Saraiva, Diego",Saraiva,Diego,3,208,56.80%,4,40.00%,0,9,1,0
"Hougland, Jeff",Hougland,Jeff,3,207,64.10%,2,13.30%,0,0,2,0
